,Unnamed: 0,PROVINCIA,CITY,CPA,ERROR
1418,1418,Buenos-Aires,calles-de-Estancia-San-Antonio,Buscar CPA,
1425,1425,Buenos-Aires,calles-de-Estancia-San-Antonio,Buscar CPA,
1429,1429,Buenos-Aires,calles-de-Estancia-San-Claudio,Buscar CPA,
1431,1431,Buenos-Aires,calles-de-Exaltacion-de-la-Cruz,Buscar CPA,
1440,1440,Buenos-Aires,calles-de-Ezpeleta-Oeste,Buscar CPA,
1441,1441,Buenos-Aires,calles-de-Ezpeleta-Oeste,Buscar CPA,
1447,1447,Buenos-Aires,calles-de-Faro,Buscar CPA,
1451,1451,Buenos-Aires,calles-de-Faro,Buscar CPA,
1457,1457,Buenos-Aires,calles-de-Faro-Querandi,Buscar CPA,
1461,1461,Buenos-Aires,calles-de-Florida,Buscar CPA,
1462,1462,Buenos-Aires,calles-de-Florida,Buscar CPA,
1472,1472,Buenos-Aires,calles-de-Fortin-Necochea,Buscar CPA,
1481,1481,Buenos-Aires,calles-de-Fortin-Olavarria,Buscar CPA,
1485,1485,Buenos-Aires,calles-de-Fortin-Olavarria,Buscar CPA,
1489,1489,Buenos-Aires,calles-de-Francisco-de-Vitoria,Buscar CPA,
1493,1493,Buenos-Aires,calles-de-Francisco-de-Vitoria,Buscar CPA,
1506,1506,Buenos-Aires,calles-de-Franklin,Buscar CPA,
1508,1508,Buenos-Aires,calles-de-Gahan,Buscar CPA,
1516,1516,Buenos-Aires,calles-de-Galera-de-Torres,Buscar CPA,
1534,1534,Buenos-Aires,calles-de-General-Lamadrid,Buscar CPA,
1544,1544,Buenos-Aires,calles-de-General-Madariaga,Buscar CPA,
1562,1562,Buenos-Aires,calles-de-General-Pinto,Buscar CPA,
1566,1566,Buenos-Aires,calles-de-General-Rivas,Buscar CPA,
1573,1573,Buenos-Aires,calles-de-Glorialdo,Buscar CPA,
1575,1575,Buenos-Aires,calles-de-Glorialdo,Buscar CPA,
1591,1591,Buenos-Aires,calles-de-Gobernador-Andonaeghi,Buscar CPA,
1593,1593,Buenos-Aires,calles-de-Gobernador-Andonaeghi,Buscar CPA,
1601,1601,Buenos-Aires,calles-de-Gobernador-Arias,Buscar CPA,
1602,1602,Buenos-Aires,calles-de-Gobernador-Arias,Buscar CPA,
1603,1603,Buenos-Aires,calles-de-Gomez,Buscar CPA,
1613,1613,Buenos-Aires,calles-de-Goyeneche,Buscar CPA,
1615,1615,Buenos-Aires,calles-de-Graciarena,Buscar CPA,
1618,1618,Buenos-Aires,calles-de-Gral-Daniel-Cerri,Buscar CPA,
1623,1623,Buenos-Aires,calles-de-Grumbein,Buscar CPA,
1626,1626,Buenos-Aires,calles-de-Grumbein,Buscar CPA,
1633,1633,Buenos-Aires,calles-de-Guerrico,Buscar CPA,
1635,1635,Buenos-Aires,calles-de-Guerrico,Buscar CPA,
1636,1636,Buenos-Aires,calles-de-Guerrico,Buscar CPA,
1638,1638,Buenos-Aires,calles-de-Haedo,Buscar CPA,
1639,1639,Buenos-Aires,calles-de-Haedo,Buscar CPA,
1641,1641,Buenos-Aires,calles-de-Haras-1-de-Mayo,Buscar CPA,
1651,1651,Buenos-Aires,calles-de-Haras-Chacabuco,Buscar CPA,
1658,1658,Buenos-Aires,calles-de-Haras-Chapadmalal,Buscar CPA,
1666,1666,Buenos-Aires,calles-de-Haras-el-Catorce,Buscar CPA,
1672,1672,Buenos-Aires,calles-de-Haras-los-Cardales,Buscar CPA,
1676,1676,Buenos-Aires,calles-de-Haras-los-Cardales,Buscar CPA,
1678,1678,Buenos-Aires,calles-de-Haras-Ojo-del-Agua,Buscar CPA,
1690,1690,Buenos-Aires,calles-de-Haras-R-de-la-Parva,Buscar CPA,
1692,1692,Buenos-Aires,calles-de-Haras-R-de-la-Parva,Buscar CPA,
1694,1694,Buenos-Aires,calles-de-Haras-R-de-la-Parva,Buscar CPA,
1700,1700,Buenos-Aires,calles-de-Haras-R-de-la-Parva,Buscar CPA,
1710,1710,Buenos-Aires,calles-de-Haras-San-Jacinto,Buscar CPA,
1715,1715,Buenos-Aires,calles-de-Hortensia,Buscar CPA,
1720,1720,Buenos-Aires,calles-de-Hospital-Necochea,Buscar CPA,
1731,1731,Buenos-Aires,calles-de-Hospital-San-Antonio-de-la-Lla,Buscar CPA,
1738,1738,Buenos-Aires,calles-de-Huanguelen,Buscar CPA,
1748,1748,Buenos-Aires,calles-de-Ingeniero-Beaugey,Buscar CPA,
1751,1751,Buenos-Aires,calles-de-Ingeniero-Maschwitz,Buscar CPA,
1752,1752,Buenos-Aires,calles-de-Ingeniero-Maschwitz,Buscar CPA,
1757,1757,Buenos-Aires,calles-de-Ingeniero-Moneta,Buscar CPA,
1762,1762,Buenos-Aires,calles-de-Ingeniero-Moneta,Buscar CPA,
1763,1763,Buenos-Aires,calles-de-Irala,Buscar CPA,
1765,1765,Buenos-Aires,calles-de-Irala,Buscar CPA,
1767,1767,Buenos-Aires,calles-de-Irala,Buscar CPA,
1770,1770,Buenos-Aires,calles-de-Isla-Verde,Buscar CPA,
1778,1778,Buenos-Aires,calles-de-Jose-Ferrari,Buscar CPA,
1781,1781,Buenos-Aires,calles-de-Jose-Maria-Blanco,Buscar CPA,
1782,1782,Buenos-Aires,calles-de-Jose-Marmol,Buscar CPA,
1783,1783,Buenos-Aires,calles-de-Jose-Marmol,Buscar CPA,
1784,1784,Buenos-Aires,calles-de-Jose-Marmol,Buscar CPA,
1785,1785,Buenos-Aires,calles-de-Jose-Marmol,Buscar CPA,
1792,1792,Buenos-Aires,calles-de-Juan-Jose-Paso,Buscar CPA,
1794,1794,Buenos-Aires,calles-de-Juan-V-Cilley,Buscar CPA,
1802,1802,Buenos-Aires,calles-de-Juan-Vucetich-Ex-Dr-R-Levene,Buscar CPA,
1804,1804,Buenos-Aires,calles-de-Juan-Vucetich-Ex-Dr-R-Levene,Buscar CPA,
1813,1813,Buenos-Aires,calles-de-Kilometro-128,Buscar CPA,
1819,1819,Buenos-Aires,calles-de-Kilometro-172,Buscar CPA,
1824,1824,Buenos-Aires,calles-de-Kilometro-172,Buscar CPA,
1826,1826,Buenos-Aires,calles-de-Kilometro-184,Buscar CPA,
1829,1829,Buenos-Aires,calles-de-Kilometro-352,Buscar CPA,
1836,1836,Buenos-Aires,calles-de-Kilometro-352,Buscar CPA,
1846,1846,Buenos-Aires,calles-de-Kilometro-44,Buscar CPA,
1859,1859,Buenos-Aires,calles-de-Kilometro-652,Buscar CPA,
1860,1860,Buenos-Aires,calles-de-Kilometro-652,Buscar CPA,
1861,1861,Buenos-Aires,calles-de-Kilometro-652,Buscar CPA,
1869,1869,Buenos-Aires,calles-de-Kilometro-83,Buscar CPA,
1872,1872,Buenos-Aires,calles-de-Kilometro-9-Sud,Buscar CPA,
1875,1875,Buenos-Aires,calles-de-Kilometro-9-Sud,Buscar CPA,
1878,1878,Buenos-Aires,calles-de-La-Angelita,Buscar CPA,
1882,1882,Buenos-Aires,calles-de-La-Angelita,Buscar CPA,
1886,1886,Buenos-Aires,calles-de-La-Argentina,Buscar CPA,
1888,1888,Buenos-Aires,calles-de-La-Argentina,Buscar CPA,
1900,1900,Buenos-Aires,calles-de-La-Azotea,Buscar CPA,
1902,1902,Buenos-Aires,calles-de-La-California-Argentina,Buscar CPA,
1914,1914,Buenos-Aires,calles-de-La-Campana,Buscar CPA,
1916,1916,Buenos-Aires,calles-de-La-Carlota,Buscar CPA,
1926,1926,Buenos-Aires,calles-de-La-Colmena,Buscar CPA,
1940,1940,Buenos-Aires,calles-de-La-Delia,Buscar CPA,
1947,1947,Buenos-Aires,calles-de-La-Elma,Buscar CPA,
1961,1961,Buenos-Aires,calles-de-La-Esperanza-Gral-Madariaga,Buscar CPA,
1976,1976,Buenos-Aires,calles-de-La-Luz,Buscar CPA,
1987,1987,Buenos-Aires,calles-de-La-Madrecita,Buscar CPA,
1998,1998,Buenos-Aires,calles-de-La-Mantequeria,Buscar CPA,
